roi,quantile,R0,car,ifr,ir,ar,waic,loo,lp__rhat
Afghanistan,0.025,0.3527353636102132,0.1314906659784164,0.006202208212900132,0.005401763458207029,0.005431101043338535,-112610.89300081832,194023.4272226066,
Afghanistan,0.25,0.8855523400249933,0.15192833586199128,0.007002763275806487,0.005969356808433968,0.006005204062750007,1117544.338114311,237160.53031278227,
Afghanistan,0.5,1.1761141295530444,0.1663549666869762,0.007441161459818093,0.0063034184537953675,0.0063434036338328925,1763008.1462323233,259794.61593669505,
Afghanistan,0.75,1.4882908700849122,0.1794322331398931,0.007887754438665875,0.006673470924640032,0.006718305396175921,2408471.9543503355,282428.7015606078,
Afghanistan,0.975,2.2070624585921874,0.2059536163871571,0.008749394257689332,0.007498238256212757,0.007554886628177148,3638627.1854654644,325565.8046507834,
Afghanistan,max,4.1537651746768445,0.24133004328611132,0.01018637410481832,0.00915296093268314,0.009237511584858759,,,
Afghanistan,mean,1.2025447721782752,0.16645819005255336,0.007453895909520393,0.006342610820486359,0.006383387311734972,1763008.1462323233,259794.61593669505,62.813710778312384
Afghanistan,min,0.005524632708864248,0.10880320695781187,0.004876981961739751,0.004678157813002015,0.004700146359471648,,,
Afghanistan,std,0.4662941647087767,0.013307238383895297,0.0006535077072264131,0.0005268366989084944,0.0005345747449501557,956966.0738808392,33557.34555985883,0.0
