roi,quantile,R0,United States_avg,ar,car,ifr,ir,loo,lp__rhat,waic,n_data_pts,t0
Antigua and Barbuda,0.75,1.9834972209520916,0.9921684100267701,0.028593044054766027,0.059576777186855286,0.006695478951669175,0.027798175105195024,2110.3085007812333,,2136.9262702381798,152.0,94.0
Antigua and Barbuda,0.975,2.4090378334418,1.2049387162716243,0.04193185333965036,0.0898942893146118,0.010663996282892609,0.04024428080687079,2571.265533214285,,2622.9952081484885,152.0,94.0
Antigua and Barbuda,mean,1.816181472728684,0.9085105359150664,0.02398761357806633,0.05166406471400357,0.005721495529286233,0.02336769612428592,1868.443836869424,1.000304198978705,1881.885361793591,152.0,94.0
Antigua and Barbuda,std,0.27115801212116186,0.13599880561130528,0.007911350913614338,0.01541231462935109,0.002024812923204575,0.007502726379815209,358.5890872937608,0.0,378.1242166696313,152.0,94.0
Argentina,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,978.0,67.0
Argentina,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,978.0,67.0
Argentina,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,978.0,67.0
Argentina,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,978.0,67.0
Argentina,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,978.0,67.0
Argentina,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,67.0
Argentina,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,67.0
Armenia,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,965.0,74.0
Armenia,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,965.0,74.0
Armenia,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,965.0,74.0
Armenia,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,965.0,74.0
Armenia,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,965.0,74.0
Armenia,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,74.0
Armenia,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,74.0
Australia,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,60.0
Australia,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,60.0
Australia,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,60.0
Australia,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,60.0
Australia,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,60.0
Australia,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,60.0
Australia,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,60.0
Austria,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,60.0
Austria,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,60.0
Austria,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,60.0
Austria,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,60.0
Austria,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,60.0
Austria,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,60.0
Austria,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,60.0
Azerbaijan,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,75.0
Azerbaijan,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,75.0
Azerbaijan,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,75.0
Azerbaijan,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,75.0
Azerbaijan,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,940.0,75.0
Azerbaijan,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,75.0
