roi,quantile,R0,Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 12),Rt (week 13),Rt (week 14),Rt (week 15),Rt (week 16),Rt (week 17),Rt (week 18),Rt (week 19),Rt (week 2),Rt (week 20),Rt (week 21),Rt (week 22),Rt (week 23),Rt (week 24),Rt (week 25),Rt (week 26),Rt (week 27),Rt (week 28),Rt (week 29),Rt (week 3),Rt (week 30),Rt (week 31),Rt (week 32),Rt (week 33),Rt (week 34),Rt (week 35),Rt (week 36),Rt (week 37),Rt (week 38),Rt (week 39),Rt (week 4),Rt (week 40),Rt (week 41),Rt (week 42),Rt (week 43),Rt (week 44),Rt (week 45),Rt (week 46),Rt (week 47),Rt (week 48),Rt (week 49),Rt (week 5),Rt (week 50),Rt (week 51),Rt (week 52),Rt (week 53),Rt (week 54),Rt (week 55),Rt (week 56),Rt (week 57),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),ar (week 1),ar (week 10),ar (week 11),ar (week 12),ar (week 13),ar (week 14),ar (week 15),ar (week 16),ar (week 17),ar (week 18),ar (week 19),ar (week 2),ar (week 20),ar (week 21),ar (week 22),ar (week 23),ar (week 24),ar (week 25),ar (week 26),ar (week 27),ar (week 28),ar (week 29),ar (week 3),ar (week 30),ar (week 31),ar (week 32),ar (week 33),ar (week 34),ar (week 35),ar (week 36),ar (week 37),ar (week 38),ar (week 39),ar (week 4),ar (week 40),ar (week 41),ar (week 42),ar (week 43),ar (week 44),ar (week 45),ar (week 46),ar (week 47),ar (week 48),ar (week 49),ar (week 5),ar (week 50),ar (week 51),ar (week 52),ar (week 53),ar (week 54),ar (week 55),ar (week 56),ar (week 57),ar (week 6),ar (week 7),ar (week 8),ar (week 9),car (week 1),car (week 10),car (week 11),car (week 12),car (week 13),car (week 14),car (week 15),car (week 16),car (week 17),car (week 18),car (week 19),car (week 2),car (week 20),car (week 21),car (week 22),car (week 23),car (week 24),car (week 25),car (week 26),car (week 27),car (week 28),car (week 29),car (week 3),car (week 30),car (week 31),car (week 32),car (week 33),car (week 34),car (week 35),car (week 36),car (week 37),car (week 38),car (week 39),car (week 4),car (week 40),car (week 41),car (week 42),car (week 43),car (week 44),car (week 45),car (week 46),car (week 47),car (week 48),car (week 49),car (week 5),car (week 50),car (week 51),car (week 52),car (week 53),car (week 54),car (week 55),car (week 56),car (week 57),car (week 6),car (week 7),car (week 8),car (week 9),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 12),ifr (week 13),ifr (week 14),ifr (week 15),ifr (week 16),ifr (week 17),ifr (week 18),ifr (week 19),ifr (week 2),ifr (week 20),ifr (week 21),ifr (week 22),ifr (week 23),ifr (week 24),ifr (week 25),ifr (week 26),ifr (week 27),ifr (week 28),ifr (week 29),ifr (week 3),ifr (week 30),ifr (week 31),ifr (week 32),ifr (week 33),ifr (week 34),ifr (week 35),ifr (week 36),ifr (week 37),ifr (week 38),ifr (week 39),ifr (week 4),ifr (week 40),ifr (week 41),ifr (week 42),ifr (week 43),ifr (week 44),ifr (week 45),ifr (week 46),ifr (week 47),ifr (week 48),ifr (week 49),ifr (week 5),ifr (week 50),ifr (week 51),ifr (week 52),ifr (week 53),ifr (week 54),ifr (week 55),ifr (week 56),ifr (week 57),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),index,ir (week 1),ir (week 10),ir (week 11),ir (week 12),ir (week 13),ir (week 14),ir (week 15),ir (week 16),ir (week 17),ir (week 18),ir (week 19),ir (week 2),ir (week 20),ir (week 21),ir (week 22),ir (week 23),ir (week 24),ir (week 25),ir (week 26),ir (week 27),ir (week 28),ir (week 29),ir (week 3),ir (week 30),ir (week 31),ir (week 32),ir (week 33),ir (week 34),ir (week 35),ir (week 36),ir (week 37),ir (week 38),ir (week 39),ir (week 4),ir (week 40),ir (week 41),ir (week 42),ir (week 43),ir (week 44),ir (week 45),ir (week 46),ir (week 47),ir (week 48),ir (week 49),ir (week 5),ir (week 50),ir (week 51),ir (week 52),ir (week 53),ir (week 54),ir (week 55),ir (week 56),ir (week 57),ir (week 6),ir (week 7),ir (week 8),ir (week 9),ll_,loo,waic,lp__rhat,Rt (week 0),ar (week 0),car (week 0),ifr (week 0),ir (week 0),Nwk,Unnamed: 1,Unnamed: 2,Unnamed: 3,n_data_pts,t0,Brazil_avg,Canada_avg,United States_avg,Caribbean_avg,Southern Asia_avg,Middle Africa_avg,Northern Europe_avg,Southern Europe_avg,Western Asia_avg,South America_avg,Polynesia_avg,Australia and New Zealand_avg,Western Europe_avg,Eastern Africa_avg,Western Africa_avg,Eastern Europe_avg,Central America_avg,North America_avg,South-Eastern Asia_avg,Southern Africa_avg,Eastern Asia_avg,Northern Africa_avg,Melanesia_avg,Micronesia_avg,Central Asia_avg,Central Europe_avg,Americas_avg,Asia_avg,Africa_avg,Europe_avg,Oceania_avg,Antarctic_avg
AAA_Global,mean,0.005581244714567406,0.0,0.005221319574052807,0.005736215873694525,0.0035080649464307927,0.003345568498610714,0.003824826235167385,0.003873045128026951,0.0026469805304084708,0.0029784212286926193,0.003439212421313978,0.00305744915394508,0.0,0.0021764717112794456,0.0026284557434967347,0.0031513198475621004,0.0033195296786961595,0.004162290757775349,0.002490099491764838,0.0025700626358629037,0.002800983422511955,0.002322611081688506,0.00262013621769829,0.0,0.00238690937655194,0.002522952479509098,0.0026979266132891263,0.0030106956827658706,0.003367497184894659,0.002876024023256908,0.002945595910253807,0.003151247497464059,0.002377125586539154,0.0027946303505037027,0.0,0.0027712333823137645,0.002356301996046767,0.002568087885332947,0.002526656412396412,0.003001790571154571,0.00322730352947001,0.002649914560868694,0.0029653786309543784,0.002262552162212971,0.0028362484258486757,0.0,0.002500950068249202,0.0024144745464032414,0.002775869846047126,0.0025567766043063564,0.0028412185228417768,0.0032258335539431743,0.0037153851707532764,0.002687036399030455,0.0,0.0,0.0,0.005580653561242813,0.0,1.0463640438775602e-06,3.4170542254782697e-06,5.191181379657598e-06,6.214833526514569e-06,7.73161783004115e-06,1.0428408253180791e-05,1.1524514524836296e-05,1.2426482335254703e-05,1.3538398991539857e-05,1.4836897891569967e-05,0.0,1.5568508706838888e-05,1.6282766757031427e-05,1.7050739155218624e-05,1.7885400487560977e-05,1.89114897486329e-05,1.97076329299022e-05,2.0401009437428673e-05,2.1173128292313295e-05,2.1757082588453775e-05,2.2314325346451372e-05,0.0,2.2806331527323963e-05,2.3262883982630803e-05,2.3728392579058526e-05,2.427198243485587e-05,2.4916553036069996e-05,2.562675158300709e-05,2.6384948945911843e-05,2.7285850719468514e-05,2.7963382079904445e-05,2.8630137035575262e-05,0.0,2.9340823085856562e-05,2.9946279607892562e-05,3.053682746300271e-05,3.11355523805216e-05,3.177440053320547e-05,3.248654307693578e-05,3.3207390904756856e-05,3.393169377211823e-05,3.459335243562158e-05,3.519884113082475e-05,0.0,3.5806525224857085e-05,3.640209849881356e-05,3.7020213742974506e-05,3.766590393984397e-05,3.8363743620545266e-05,3.9170462972116806e-05,4.015827056649828e-05,4.118172419705167e-05,0.0,0.0,0.0,2.264314151102075e-07,0.0,0.0004180050085317049,0.0003748977017630698,0.000397322058827041,0.00035052253064255955,0.0003066644765477669,0.0002825318427058123,0.0002931192157434577,0.00027536350433498674,0.0002553160509315058,0.0002520301259112197,0.0,0.0002581108814748446,0.00024966957273489645,0.00024091951961518235,0.00023529465268817625,0.000226852610909364,0.00025134291626667293,0.0002560868724188007,0.00026039083583219994,0.0002711119211359191,0.0002741970969032444,0.0,0.0002801773182646891,0.0002827507145347827,0.0002846269677820313,0.0002864780547796021,0.00028785445131733755,0.0002970800154806737,0.00030220474655995246,0.00030627076411469766,0.00032068214265444455,0.0003237680931667618,0.0,0.00032918442471624026,0.00033671431811556525,0.00033894903867752923,0.00034172737668953054,0.000341706407985651,0.00034243549464258333,0.0003495417702353993,0.00035127860718606066,0.00035900615852784107,0.0003577383644722244,0.0,0.00035975372109569166,0.000361734756222566,0.0003615064297049894,0.00036297742018225515,0.0003623560118379962,0.0003610536884052066,0.0003589651482074549,0.00036953117078889337,0.0,0.0,0.0,0.00031085723413265694,0.0,2.6323377693020375e-05,2.7521681390313513e-05,2.6831359698580862e-05,2.575914034285421e-05,2.389742961228645e-05,2.2526577874544776e-05,2.3336676288276683e-05,2.307294286783774e-05,2.224962134345493e-05,2.202315140975947e-05,0.0,2.256604599593406e-05,2.2674369369856424e-05,2.247734643035235e-05,2.2253014116360555e-05,2.1843101253732586e-05,2.266160098115266e-05,2.3088459772197334e-05,2.339427597613433e-05,2.403558350442709e-05,2.4487489510181743e-05,0.0,2.5021412616402247e-05,2.5443397181395968e-05,2.5763189908287965e-05,2.594906659746221e-05,2.603310826278059e-05,2.6356028242400826e-05,2.6647042952823858e-05,2.6865261307444803e-05,2.7590877678387553e-05,2.7977836374197445e-05,0.0,2.8374418310120205e-05,2.8903851894276825e-05,2.9261998761053977e-05,2.9593380796767053e-05,2.9775421786767604e-05,2.9911627454330076e-05,3.029043637226173e-05,3.058682788492771e-05,3.113332221498598e-05,3.143004186389872e-05,0.0,3.178852163214863e-05,3.21940360890262e-05,3.251061209203911e-05,3.286563261961379e-05,3.3137988242820365e-05,3.331318016041951e-05,3.33864497150553e-05,3.4130139116216356e-05,0.0,0.0,0.0,1.79870459439755e-05,1.3176702685737345,0.0,1.0455671262521445e-06,3.402927637985177e-06,5.162450803906684e-06,6.1815660887369e-06,7.687961795387068e-06,1.0351045926131707e-05,1.1439360564447155e-05,1.2335922371280243e-05,1.343896987665221e-05,1.4724833854862481e-05,0.0,1.5450140933996982e-05,1.615790301603276e-05,1.691807644316204e-05,1.7743542399533775e-05,1.8756915854755988e-05,1.9542794323983505e-05,2.022699231166164e-05,2.0987756819643512e-05,2.156314910898996e-05,2.2111871301671802e-05,0.0,2.2596207615577005e-05,2.3045592493519244e-05,2.350366396265819e-05,2.4038286143476825e-05,2.467186338398874e-05,2.5369563398105997e-05,2.6113942959606105e-05,2.6997468085573637e-05,2.7661432641180912e-05,2.8314379626091125e-05,0.0,2.9009811178436396e-05,2.9601673136411347e-05,3.0178481680567714e-05,3.076279826103892e-05,3.138584530265174e-05,3.2080075578052725e-05,3.2782203429971184e-05,3.348706890134392e-05,3.4129891163280036e-05,3.4717495833822676e-05,0.0,3.5306773241201656e-05,3.5883624625092496e-05,3.6481798905263747e-05,3.710602766764208e-05,3.777995151642922e-05,3.855851816583605e-05,3.951153927144414e-05,4.0497615829054765e-05,0.0,0.0,0.0,2.2639907207365125e-07,-1.083069782807842,2.581045125411265,2.527020720087165,0.0027861766644743913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.7507809113871,10.30859824537805,0.002790622357283703,,0.002790622357283703,,0.002790622357283703,,0.002790622357283703,0.002790622357283703,0.002790622357283703,0.002790622357283703,,0.002790622357283703,0.002790622357283703,,,0.002790622357283703,,0.002790622357283703,,,0.002790622357283703,,,,,,0.002790622357283703,0.002790622357283703,,0.002790622357283703,0.002790622357283703,
AAA_Global,std,0.2592339375736188,0.0,0.24251637434550835,0.2664319347669714,0.16294026437393494,0.15539273758297076,0.17765298176039085,0.17989262078370752,0.12294518887292313,0.1383397256980315,0.15974224814086574,0.1420103621401136,0.0,0.10109130858568606,0.1220847619073562,0.14637040560238868,0.15418330381659204,0.19332730916601945,0.11565848286770539,0.1193725577319026,0.1300982126443966,0.10787909273834824,0.1216983421136054,0.0,0.11086557711757862,0.1171844165634227,0.1253114986021191,0.13983878804708252,0.15641126659969104,0.13358364849318322,0.13681507716778685,0.1463670451332177,0.1104111461547527,0.1298031293866979,0.0,0.1287164025898364,0.10944394589140062,0.11928083583440724,0.11735645437147306,0.1394251693534774,0.14989964505697068,0.12308146676577013,0.13773393180423432,0.10508951604384803,0.1317361780340281,0.0,0.11616246321811788,0.11214590576931958,0.12893175396958856,0.11875545698623174,0.13196702578923963,0.14983136861265645,0.17256973608469633,0.12480567718276307,0.0,0.0,0.0,0.2592064800776871,0.0,4.8600820265387544e-05,0.00015871305901733106,0.00024111653556330314,0.0002886624487612678,0.0003591130359621429,0.00048437176156086465,0.0005352829756953661,0.0005771769758722678,0.0006288225402228417,0.0006891343523731372,0.0,0.0007231157242915887,0.0007562911065341534,0.0007919613770403542,0.0008307291707475185,0.0008783882814034999,0.0009153670096814669,0.0009475724999367108,0.0009834353623021873,0.0010105584825546312,0.001036440923072435,0.0,0.0010592932985013892,0.0010804989428963008,0.0011021205761694943,0.001127368875778293,0.0011573074618002972,0.0011902942909391514,0.0012255105371164103,0.0012673550227231042,0.0012988245481386426,0.0013297935382823878,0.0,0.001362803010651912,0.0013909248519729635,0.0014183542254613331,0.0014461634016988045,0.0014758361952424408,0.001508913317849707,0.001542394777694983,0.001576036714915882,0.001606768995874999,0.0016348923315538928,0.0,0.0016631176376555384,0.001690780428451716,0.001719490233667727,0.001749480821923116,0.0017818936146736545,0.0018193635778664325,0.0018652446071623285,0.0019127812998072304,0.0,0.0,0.0,1.0517135573034149e-05,0.0,0.019415218258453815,0.01741299878173744,0.018454550384747668,0.016280837066608208,0.014243747378059921,0.013122850872923045,0.013614606124927311,0.01278990066615663,0.011858749901427825,0.011706127444405448,0.0,0.011988562329238011,0.011596486042523722,0.011190069402471841,0.010928809329425849,0.010536698995010576,0.01167420838849496,0.011894552504527506,0.012094460130852532,0.012592425961143345,0.012735724150556717,0.0,0.013013489489718942,0.013133016885873497,0.013220163847177674,0.01330614190327672,0.013370071853025849,0.013798574713356897,0.01403660480962196,0.014225460485168475,0.01489483059807027,0.015038164772323072,0.0,0.015289738933031476,0.015639482406977667,0.015743279219388093,0.01587232561308621,0.01587135167269289,0.015905215804185937,0.016235283360371163,0.016315954806378197,0.016674878964801753,0.016615993310816347,0.0,0.016709601253100777,0.016801615053368454,0.01679100989533814,0.01685933348139406,0.016830470720457798,0.01676998126895691,0.01667297414475201,0.01716373772498509,0.0,0.0,0.0,0.014438489790121838,0.0,0.001222650716566572,0.0012783087286669078,0.0012462451264612464,0.0011964433958898944,0.001109971895715664,0.0010462994871439934,0.0010839263987656499,0.0010716766844910365,0.0010334355946320316,0.0010229166699734019,0.0,0.0010481326761617895,0.0010531640080938692,0.001044012817810695,0.0010335931798884747,0.00101455382023385,0.001052570950478691,0.0010723974033309744,0.0010866017507077312,0.0011163887756917854,0.0011373786048922815,0.0,0.0011621779097544783,0.0011817779678012237,0.001196631487408282,0.0012052649640791793,0.0012091684753808539,0.0012241672475399844,0.0012376841050033209,0.001247819765812383,0.0012815227117728787,0.001299495911573871,0.0,0.0013179160852228582,0.001342506863754108,0.0013591418309079344,0.0013745336430130088,0.001382988961683138,0.0013893153518215072,0.0014069100161670993,0.00142067661176024,0.001446059816455224,0.001459841653102226,0.0,0.0014764920826419573,0.0014953271480754838,0.00151003125943404,0.001526521016466631,0.0015391712090732864,0.0015473084065897767,0.0015507115820683442,0.0015852539721003661,0.0,0.0,0.0,0.0008354503312144715,61.20227110889773,0.0,4.856380556624362e-05,0.00015805691668930268,0.00023978207691445963,0.0002871172649664091,0.00035708532953803834,0.0004807784877148984,0.0005313278012529968,0.0005729707069755914,0.0006242043229111176,0.0006839292766271747,0.0,0.0007176178568077396,0.0007504915186474636,0.0007857995477398285,0.0008241402407477332,0.0008712087361219232,0.0009077106958909398,0.0009394898683688653,0.0009748253515910317,0.0010015507894539255,0.0010270374724283648,0.0,0.0010495336029843014,0.0010704063325191564,0.0010916825310569277,0.001116514306070497,0.0011459422797958278,0.0011783485854058849,0.0012129230315457097,0.0012539604181974694,0.0012847998016973796,0.001315127448410899,0.0,0.0013474283900192928,0.001374918800082377,0.0014017100192055022,0.0014288499665992699,0.0014577888406589075,0.0014900339861558054,0.0015226459530272552,0.0015553850750239517,0.0015852424553475083,0.0016125351257591522,0.0,0.0016399054903373815,0.0016666986992519646,0.0016944822998526195,0.001723476061691386,0.001754778027808347,0.0017909403730397685,0.001835205662671796,0.0018810062899245745,0.0,0.0,0.0,1.0515633325211598e-05,50.30570398238539,119.88266509246179,117.37337549247601,0.1294104782078902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.3023637890081,1.8577716274855227,0.1296169687868094,,0.1296169687868094,,0.1296169687868094,,0.1296169687868094,0.1296169687868094,0.1296169687868094,0.1296169687868094,,0.1296169687868094,0.1296169687868094,,,0.1296169687868094,,0.1296169687868094,,,0.1296169687868094,,,,,,0.1296169687868094,0.1296169687868094,,0.1296169687868094,0.1296169687868094,
AAA_Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_Africa,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_Africa,std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_Americas,mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.8841958041958,9.50041958041958,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
AA_Americas,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.82886613325827,0.4999998239522405,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
AA_Antarctic,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_Antarctic,std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_Asia,mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.3298170430196,8.188890720290093,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
