roi,quantile,param,SICRdiscrete1Nwk,SICRdiscrete2Nwk,SICRdiscrete3Nwk,SICRdiscrete4Nwk,SICRdiscrete5Nwk,SICRdiscrete6Nwk,SICRdiscreteNwk,model_contributions_loo,model_contributions_waic
Belgium,0.5,loo,2798703.853,2898620.999,1916014.349,13343098.45,2426611.43,2548070.319635929,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,0.5,waic,8938107856.0,6419976845.0,2930622.897,31726370360.0,5130491841.0,3856916488.8740478,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,0.75,loo,3204330.038,3300140.814,2198090.532,14834823.92,2807687.589,2884072.637955698,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,0.75,waic,12432352043.0,8490036550.0,3387285.603,41178418390.0,7530125569.0,5411173982.885284,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,0.975,loo,3977391.468,4065376.13,2735684.564,17677824.34,3533960.4260000004,3524441.632079538,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,0.975,waic,19091846675.0,12435253529.0,4257614.829,59192575316.0,12103460196.0,8373350889.957107,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,mean,loo,2798703.853,2898620.999,1916014.349,13343098.45,2426611.43,2548070.319635929,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,mean,waic,8938107856.0,6419976845.0,2930622.897,31726370360.0,5130491841.0,3856916488.8740478,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,std,loo,601382.2828,595294.1683,418206.7736,2211635.481,564984.3589999999,498157.782563915,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Belgium,std,waic,5180574184.0,3069075111.0,677049.1414,14013627379.0,3557702290.0,2304345608.750016,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Brazil,0.025,loo,269666300.9,37092551.57,37489068.81,419987512.1,37254046.13,38565624.07028489,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.025,waic,18564000000000.0,60786695.5,49970938.27,103908000000000.0,-579340183.4,-712622428.8494263,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.25,loo,316521999.1,41765207.23,42661965.48,476913679.0,41959105.72,43823019.47213447,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.25,waic,23609000000000.0,68499782.0,56819700.78,131770000000000.0,1569899227.0,5569465666.355232,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.5,loo,341107235.6,44216954.82,45376190.08,506782901.6,44427855.68,46581580.6447629,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.5,waic,26256100000000.0,72546847.01,60413254.03,146389000000000.0,2697607519.0,8865684226.664827,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.75,loo,365692472.2,46668702.41,48090414.67,536652124.2,46896605.64,49340141.81739134,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.75,waic,28903200000000.0,76593912.01,64006807.29,161008000000000.0,3825315811.0,12161902786.974422,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.975,loo,412548170.4,51341358.07,53263311.34,593578291.0,51601665.23,54597537.21924092,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,0.975,waic,33948200000000.0,84306998.51,70855569.8,188870000000000.0,5974555221.0,18443990882.17908,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,mean,loo,341107235.6,44216954.82,45376190.08,506782901.6,44427855.68,46581580.6447629,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,mean,waic,26256100000000.0,72546847.01,60413254.03,146389000000000.0,2697607519.0,8865684226.664827,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,std,loo,36450126.27,3634966.412,4024115.407,44284175.69,3660174.172,4089848.9144223337,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Brazil,std,waic,3924600000000.0,6000187.551,5327810.024,21674200000000.0,1671942815.0,4886980950.194346,,['SICRdiscrete2Nwk'],['SICRdiscrete3Nwk']
Chile,0.025,loo,3002617.418,2965065.855,2919257.88,30787579.9,2963269.689,2930655.215398708,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.025,waic,-9178927.022,4743274.328,3812683.981,77690563790.0,4744499.416,3878644.8090429436,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.25,loo,3430262.989,3388450.575,3407106.14,35617694.82,3387700.465,3402550.2213576618,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.25,waic,25589199.54,5435442.324,4429742.22,104397000000.0,5431957.865,4512783.15140493,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.5,loo,3654649.092,3610601.006,3663080.661,38152061.45,3610399.763,3650154.0520563526,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.5,waic,43832073.94,5798623.636,4753513.36,118410000000.0,5792668.073,4845516.2398652965,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.75,loo,3879035.1960000005,3832751.436,3919055.182,40686428.08,3833099.06,3897757.882755043,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.75,waic,62074948.34,6161804.947000002,5077284.499,132423000000.0,6153378.28,5178249.328325663,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.975,loo,4306680.767,4256136.157,4406903.443,45516543.0,4257529.837,4369652.888713997,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,0.975,waic,96843074.9,6853972.943,5694342.739,159130000000.0,6840836.73,5812387.6706876485,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,mean,loo,3654649.092,3610601.006,3663080.661,38152061.45,3610399.763,3650154.0520563526,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,mean,waic,43832073.94,5798623.636,4753513.36,118410000000.0,5792668.073,4845516.2398652965,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,std,loo,332675.3348,329360.721,379508.3927,3757457.588,330174.4722,367097.9887043636,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Chile,std,waic,27046926.06,538453.4183,480023.8099,20775653263.0,534789.7539,493310.8151215591,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
China,0.025,loo,252662.4784,268163.2461,250648.0384,1295964.913,257449.6003,239090.7074810207,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.025,waic,-9461937.256,2391777.794,292982.8962,317031259.3,724036.2104,283469.161779416,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.25,loo,402761.4683,421700.4589,411413.2212,1752576.321,412011.6592,399169.2906862535,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.25,waic,14026285.39,14801271.9,502253.9226,902105522.6,20208954.18,500829.8369303706,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.5,loo,481518.5741,502261.604,495766.8902,1992160.832,493110.5421,483162.70005469717,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.5,waic,26350581.75,21312547.16,612058.6612,1209094635.0,30432712.16,614879.2231942954,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.75,loo,560275.6799,582822.7491,580120.5591,2231745.342,574209.425,567156.109423141,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.75,waic,38674878.12,27823822.41,721863.3999,1516083747.0,40656470.14,728928.6094582204,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.975,loo,710374.6698,736359.962,740885.7420000002,2688356.751,728771.4839,727234.6926283736,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,0.975,waic,62163100.77,40233316.52,931134.4263,2101158010.0,60141388.11,946289.284609175,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,mean,loo,481518.5741,502261.604,495766.8902,1992160.832,493110.5421,483162.70005469717,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,mean,waic,26350581.75,21312547.16,612058.6612,1209094635.0,30432712.16,614879.2231942954,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,std,loo,116765.4597,119440.1325,125062.9367,355208.5267,120237.3838,124528.81506950395,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
China,std,waic,18272029.13,9653631.144,162796.7491,455142738.6,15157766.26,169089.8730940975,,['SICRdiscrete1Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.025,loo,1066318.315,1060795.619,1012514.31,2523356.221,1006222.772,1010247.0875597096,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.025,waic,4402172.402,-56704.36492000001,1309131.372,258204539.4,1561925.1619999998,1335298.5819401932,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.25,loo,1222961.876,1219382.531,1262862.376,3110086.04,1168883.618,1243830.4236725557,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.25,waic,26233539.0,8685645.675,1638223.322,468320414.1,1804016.256,1672293.6847081392,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.5,loo,1305152.925,1302593.259,1394220.283,3417943.824,1254231.943,1366391.8580564386,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.5,waic,37688481.16,13272766.39,1810898.231,578568445.5,1931041.72,1849115.387244444,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.75,loo,1387343.975,1385803.987,1525578.189,3725801.608,1339580.268,1488953.2924403215,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.75,waic,49143423.32,17859887.11,1983573.141,688816477.0,2058067.184,2025937.089780749,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.975,loo,1543987.5359999996,1544390.9,1775926.255,4312531.427,1502241.113,1722536.6285531675,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,0.975,waic,70974789.91,26602237.15,2312665.091,898932351.7,2300158.278,2362932.192548695,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,mean,loo,1305152.925,1302593.259,1394220.283,3417943.824,1254231.943,1366391.8580564386,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,mean,waic,37688481.16,13272766.39,1810898.231,578568445.5,1931041.72,1849115.387244444,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,std,loo,121856.6323,123368.4101,194751.524,456430.6333,126537.6161,181709.8545207736,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Ecuador,std,waic,16983122.66,6800875.355,256008.2041,163453976.0,188328.235,262156.24846026365,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
France,0.025,loo,7725702.065,12029639.27,6054715.131,7134443.932999998,7655905.083,8601972.820268296,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.025,waic,5912834412.0,16022362407.0,9141268.019,7153840558.0,3062132737.0,14721848785.157791,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.25,loo,10759858.52,16124790.07,8101729.557999998,9903334.157,10700303.9,11584175.668511786,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.25,waic,94041582279.0,87606073112.0,12466606.21,17213824282.0,79582018308.0,82890461558.08563,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.5,loo,12351883.77,18273520.21,9175800.288,11356173.92,12297703.32,13148940.795968674,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.5,waic,140283000000.0,125166000000.0,14211414.84,22492308851.0,119732000000.0,118658607952.6265,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.75,loo,13943909.01,20422250.36,10249871.02,12809013.67,13895102.74,14713705.923425565,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.75,waic,186524000000.0,162726000000.0,15956223.46,27770793420.0,159882000000.0,154426754347.16736,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.975,loo,16978065.47,24517401.16,12296885.45,15577903.9,16939501.55,17695908.771669056,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,0.975,waic,274653000000.0,234310000000.0,19281561.66,37830777145.0,236402000000.0,222595367120.0952,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,mean,loo,12351883.77,18273520.21,9175800.288,11356173.92,12297703.32,13148940.795968674,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,mean,waic,140283000000.0,125166000000.0,14211414.84,22492308851.0,119732000000.0,118658607952.6265,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,std,loo,2360340.1580000003,3185712.082,1592419.647,2153983.449,2368307.924,2319924.249407787,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
France,std,waic,68557381791.0,55686616497.0,2586857.136,7825892932.0,59526580562.0,53029933196.37942,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Germany,0.025,loo,8861864.57,8165739.056,7948106.112000002,106555780.9,7918882.557,7911745.171682833,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.025,waic,391866274.7,-32434543.74,10413143.65,7632520000000.0,13024548.93,10542500.130365863,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.25,loo,10645587.09,9896090.69,9666699.476,129449424.5,9618424.889,9626500.75025717,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.25,waic,793512244.6,444848352.7,12704719.02,10189800000000.0,15846402.64,12917700.83400548,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.5,loo,11581508.26,10804008.1,10568447.31,141461744.6,10510176.63,10526234.895788442,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.5,waic,1004256329.0,695279215.5,13907111.14,11531700000000.0,17327032.39,14163971.265929796,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.75,loo,12517429.44,11711925.52,11470195.15,153474064.7,11401928.37,11425969.041319715,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.75,waic,1215000412.0,945710078.3,15109503.27,12873500000000.0,18807662.15,15410241.697854113,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.975,loo,14301151.96,13442277.15,13188788.51,176367708.3,13101470.7,13140724.619894052,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,0.975,waic,1616646382.0,1422992975.0,17401078.63,15430800000000.0,21629515.86,17785442.401493724,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,mean,loo,11581508.26,10804008.1,10568447.31,141461744.6,10510176.63,10526234.895788442,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,mean,waic,1004256329.0,695279215.5,13907111.14,11531700000000.0,17327032.39,14163971.265929796,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,std,loo,1387598.81,1346080.371,1336933.342,17809492.42,1322113.106,1333947.8402299078,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Germany,std,waic,312449646.4,371289352.8,1782669.2319999996,1989390000000.0,2195184.96,1847723.3072289245,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
India,0.025,loo,45957966.23,540537611.8,38166468.94,589011353.1,38845943.93,173396179.28558385,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.025,waic,16748322517.0,189718000000000.0,50464592.32,351399000000000.0,-951458749.2,-24627208350530.41,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.25,loo,53375692.1,763000914.5,44909599.9,698294960.0,45582684.41,228004853.8706855,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.25,waic,37043583829.0,640325000000000.0,59461276.27,458041000000000.0,8370300942.0,55346001317651.52,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.5,loo,57267781.05,879727655.1,48447728.16,755636189.3,49117459.58,256658085.72503042,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.5,waic,47692529850.0,876759000000000.0,64181846.27,513997000000000.0,13261438546.0,97308032737907.2,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.75,loo,61159870.0,996454395.7,51985856.42,812977418.5,52652234.74,285311317.57937527,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.75,waic,58341475871.0,1113190000000000.0,68902416.27,569952000000000.0,18152576149.0,139270064158162.88,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.975,loo,68577595.86,1218917698.0,58728987.38,922261025.5,59388975.22,339919992.1644769,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,0.975,waic,78636737183.0,1563800000000000.0,77899100.22,676595000000000.0,27474335841.0,219243273826344.8,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,mean,loo,57267781.05,879727655.1,48447728.16,755636189.3,49117459.58,256658085.72503042,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,mean,waic,47692529850.0,876759000000000.0,64181846.27,513997000000000.0,13261438546.0,97308032737907.2,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,std,loo,5770419.714,173059324.6,5245636.806,85014233.69,5240665.506,42481345.11460711,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
India,std,waic,15788150995.0,350537000000000.0,6998727.557,82959800000000.0,7251611462.0,62213000876672.84,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Iran,0.025,loo,8672410.332,5682179.869,5597047.4860000005,68949242.04,5584400.852999999,5563825.58488453,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.025,waic,3307231467.0,-162284773.3,7307411.567000002,-1951390000000.0,9011036.415,7398762.756666672,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.25,loo,9976723.725,6506882.584,6410172.421,86035996.02,6385326.357999999,6378097.790612873,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.25,waic,5203246431.0,213315213.9,8430737.207,5967790000000.0,10326717.78,8562043.613724109,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.5,loo,10661098.4,6939605.009,6836819.972,95001434.7,6805572.856000002,6805347.3160875,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.5,waic,6198087576.0,410392941.9,9020147.41,10123000000000.0,11017057.24,9172418.363930576,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.75,loo,11345473.08,7372327.4339999985,7263467.522999999,103966873.4,7225819.352999999,7232596.841562128,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.75,waic,7192928721.0,607470670.0,9609557.614,14278200000000.0,11707396.7,9782793.114137046,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.975,loo,12649786.47,8197030.149,8076592.458,121053627.4,8026744.857999999,8046869.04729047,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,0.975,waic,9088943684.0,983070657.2,10732883.25,22197400000000.0,13023078.06,10946073.97119448,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,mean,loo,10661098.4,6939605.009,6836819.972,95001434.7,6805572.856000002,6805347.3160875,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,mean,waic,6198087576.0,410392941.9,9020147.41,10123000000000.0,11017057.24,9172418.363930576,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,std,loo,1014655.416,641555.2276,632548.606,13292179.28,623058.3891,633441.0943241485,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Iran,std,waic,1474953689.0,292187876.8,873860.8754,6160510000000.0,1023498.82,904942.9587759123,,['SICRdiscrete6Nwk'],['SICRdiscrete3Nwk']
Ireland,0.025,loo,395200.836,438631.2638,374457.5873,2351688.075,382684.1814,503000.32327501295,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.025,waic,-212327274.0,-123046375.3,524703.7704,1386581842.0,-122069360.5,-13595920.06897956,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.25,loo,609478.3755,659472.9811,570514.8807,3930540.197,593457.2138,738733.0900047306,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.25,waic,279356316.2,331613625.8,829492.0733,2657686125.0,164964255.4,190982481.50173104,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.5,loo,721910.037,775348.8740000002,673386.3591,4758965.649,704050.0567,862422.3330067128,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.5,waic,537343238.9,570174230.5,989414.8323,3324635945.0,315571110.6,298324994.7037649,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.75,loo,834341.6986,891224.767,776257.8374,5587391.101,814642.8995,986111.576008695,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.75,waic,795330161.5,808734835.1,1149337.591,3991585766.0,466177965.8,405667507.90579885,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.975,loo,1048619.238,1112066.4840000002,972315.1308,7166243.222999998,1025415.932,1221844.3427384126,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,0.975,waic,1287013752.0,1263394836.0,1454125.894,5262690049.0,753211581.7,610245909.4765093,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
Ireland,mean,loo,721910.037,775348.8740000002,673386.3591,4758965.649,704050.0567,862422.3330067128,,['SICRdiscrete3Nwk'],['SICRdiscrete3Nwk']
