roi,quantile,q,extra_std,waic,loo
Bangladesh,0.75,0.6338896808425234,1.2204596113756048,508.5461237029383,508.5914787525092
Bangladesh,0.975,1.7234661645222915,1.4317874817094967,552.9010753659293,552.9524108042373
Bangladesh,mean,0.45498730297068835,1.1242439851677817,485.2730315881066,485.31524872110356
Bangladesh,std,0.46449198554120763,0.1474462306029301,34.50473800093476,34.50939028300874
Barbados,0.025,0.010766686168700326,1.2146796119794776,190.00885687365405,190.00392492924175
Barbados,0.25,0.12165811341093757,1.509290954736302,219.80734604355445,219.79244577153466
Barbados,0.5,0.29706409238067033,1.6813135667398522,235.4426462148441,235.42251555032152
Barbados,0.75,0.6122449663512639,1.8665714757130432,251.07794638613382,251.05258532910844
Barbados,0.975,1.6827127620751314,2.266136575390393,280.87643555603415,280.8411061714013
Barbados,mean,0.4430343369799263,1.6961956232180109,235.4426462148441,235.42251555032152
Barbados,std,0.4568746759584814,0.2683625533518679,23.180930720955065,23.173176129426764
Belarus,0.025,0.012587967749680837,1.6777316393352542,503.19957832517224,503.2134129909567
Belarus,0.25,0.14116022469459752,1.8910041274824863,572.9155238091327,572.9322153744475
Belarus,0.5,0.33734807827292224,2.0144858551943385,609.4955573857352,609.5137479693884
Belarus,0.75,0.6788844424450099,2.145665110612385,646.0755909623379,646.0952805643292
Belarus,0.975,1.8129867014197831,2.4258571486368665,715.7915364462981,715.81408294782
Belarus,mean,0.490277607782204,2.0239269181713104,609.4955573857352,609.5137479693884
Belarus,std,0.4950573394699328,0.19049773317016497,54.233638933680425,54.23586138159432
Belgium,0.025,0.009117484160740387,0.7477193354442697,1283.8536139368714,1283.9852260629993
Belgium,0.25,0.08706870053691092,0.8301374400877417,1357.8544911925464,1358.005675554147
Belgium,0.5,0.24989330317365985,0.8780173556038834,1396.68283320124,1396.8442871364045
Belgium,0.75,0.5436144099698486,0.9336782701651699,1435.5111752099335,1435.6828987186623
Belgium,0.975,1.5152215372211562,1.051254400307152,1509.5120524656086,1509.70334820981
Belgium,mean,0.38652135725036946,0.8847132538552983,1396.68283320124,1396.8442871364045
Belgium,std,0.4148703517671466,0.07745700896191349,57.56698600298323,57.582211695532735
Benin,0.025,0.011106693190231744,2.2575408254929625,82.5063115474027,82.51565587036868
Benin,0.25,0.13491173764330244,2.8099750888728514,114.21118640193615,114.22205250583498
Benin,0.5,0.33938266522630633,3.1574750480364386,130.84676924700634,130.85843383104097
Benin,0.75,0.6927871849789717,3.556058170377761,147.48235209207652,147.49481515624694
Benin,0.975,1.9287500575672962,4.489720835042418,179.18722694660994,179.20121179171326
Benin,mean,0.5037288671215356,3.214544033564322,130.84676924700634,130.85843383104097
Benin,std,0.5248960586740004,0.5725020520461733,24.663952032234764,24.665135860655575
Bolivia,0.025,0.016299602841015427,0.8170068905315739,354.1396619891057,354.1466546172219
Bolivia,0.25,0.16181013336120148,1.0028968617982248,392.3616630460932,392.3723001036765
Bolivia,0.5,0.36812359588459237,1.1087365765526582,412.41678920587844,412.4293384996274
Bolivia,0.75,0.727106180310781,1.2206105362755963,432.47191536566373,432.48637689557836
Bolivia,0.975,1.8819017411305439,1.4563154279688597,470.6939164226511,470.71202238203284
Bolivia,mean,0.5228571318160752,1.1160553271144047,412.41678920587844,412.4293384996274
Bolivia,std,0.5089196000693804,0.16348526774289995,29.73377453690741,29.736609622488913
Bosnia and Herzegovina,0.025,0.01082867660897803,0.7240668601606591,571.3272018982798,571.3516944045366
Bosnia and Herzegovina,0.25,0.12083401381885098,0.8495043746229316,619.0506580698536,619.081533409862
Bosnia and Herzegovina,0.5,0.2950574797296064,0.9228756470937295,644.0912082198811,644.1254326398071
Bosnia and Herzegovina,0.75,0.6061101130917521,1.000830070650579,669.1317583699087,669.169331869752
Bosnia and Herzegovina,0.975,1.687582925123798,1.164604028505599,716.8552145414824,716.8991708750773
Bosnia and Herzegovina,mean,0.4396088649718348,0.9282568451142789,644.0912082198811,644.1254326398071
Bosnia and Herzegovina,std,0.4551984066864779,0.11264179030420915,37.125175205031574,37.13014055834718
Brazil,0.025,0.013777502758186743,1.5585429212930089,962.3512944174498,962.7283426163958
Brazil,0.25,0.14453309710245563,1.7097068642392452,1057.4586673676336,1058.1492708325545
Brazil,0.5,0.3378340146118727,1.7962433916086662,1107.361610973277,1108.2167372324864
Brazil,0.75,0.669595466438325,1.8882510241768935,1157.2645545789205,1158.2842036324182
Brazil,0.975,1.7773740347839737,2.0804538319602304,1252.3719275291046,1253.7051318485765
Brazil,mean,0.4867585518719354,1.8025318446159269,1107.361610973277,1108.2167372324864
Brazil,std,0.4867182073542152,0.13347838584327065,73.98621489968701,74.2301367594937
Brunei,0.025,0.005762388375412104,1.0452438356737512,312.9370092964863,312.99601897628577
Brunei,0.25,0.06684852994901999,1.2565104095280626,348.18237067014763,348.29277643657997
Brunei,0.5,0.16985817333544387,1.3787728369729022,366.67565070125113,366.813024051092
Brunei,0.75,0.3585384201842496,1.5094185675172331,385.1689307323546,385.33327166560395
Brunei,0.975,1.0556429208063065,1.7819481460541424,420.4142921060158,420.63002912589815
Brunei,mean,0.26468015792911864,1.3881929134115456,366.67565070125113,366.813024051092
Brunei,std,0.28858282879374775,0.18922602161826116,27.418178001559365,27.458160200548512
Bulgaria,0.025,0.013169354699937878,0.6100584814228359,521.8615331980549,521.9213572778743
Bulgaria,0.25,0.15669271380515795,0.7341822704485385,561.5536807166642,561.6316199704855
Bulgaria,0.5,0.38174892770627417,0.8064797200323848,582.3801943482157,582.4676386538388
Bulgaria,0.75,0.7802061377159286,0.8836542124400939,603.2067079797671,603.3036573371918
Bulgaria,0.975,2.1514405931837253,1.0454382084581748,642.8988554983763,643.0139200298029
Bulgaria,mean,0.5667746208311019,0.8118725479345652,582.3801943482157,582.4676386538388
Bulgaria,std,0.5879259570794728,0.1112742114027142,30.877435313875267,30.891527524763514
Burkina Faso,0.025,0.009948435016094352,0.8142421814212888,478.44564200051457,478.4860641076314
Burkina Faso,0.25,0.10650328297601368,0.9397006260953742,512.7015744349131,512.7499492559407
Burkina Faso,0.5,0.25877216073786324,1.0117948315830982,530.6757000090464,530.7282476278444
Burkina Faso,0.75,0.5269662420791701,1.0886125126686432,548.6498255831796,548.7065459997481
Burkina Faso,0.975,1.449604762324434,1.2513004218518908,582.9057580175781,582.9704311480574
Burkina Faso,mean,0.3811872384391427,1.0172014800762879,530.6757000090464,530.7282476278444
Burkina Faso,std,0.3895262171175249,0.11169267314761122,26.648478451908183,26.654665051140057
Burma,0.025,0.014958779444612217,1.4571270798829858,117.66911904284865,117.69140165510244
Burma,0.25,0.16081291216614965,1.837936302413107,147.1221860039306,147.1885143476377
Burma,0.5,0.385736737173577,2.072338975831084,162.576242760834,162.6656819484704
Burma,0.75,0.7736529700042423,2.333096669038346,178.03029951773732,178.14284954930315
Burma,0.975,2.0357880185519615,2.931330849631394,207.48336647881933,207.6399622418384
Burma,mean,0.5560151927312001,2.1036490141358084,162.576242760834,162.6656819484704
Burma,std,0.5540512863777356,0.37725714439203517,22.912218832696418,22.946483021177613
Cabo Verde,0.025,0.01294185522207067,2.6871409087693,60.79286753328495,60.83708749593967
Cabo Verde,0.25,0.15046474062944384,3.386890857007114,91.51023132668925,91.44373427646083
Cabo Verde,0.5,0.371818213366807,3.826654199240025,107.6276660275636,107.50307563842038
Cabo Verde,0.75,0.7687526593420513,4.3190168666451285,123.74510072843792,123.56241700037992
Cabo Verde,0.975,2.0776630265679383,5.492303594246269,154.4624645218422,154.16906378090107
Cabo Verde,mean,0.553067266209593,3.8926705463832683,107.6276660275636,107.50307563842038
Cabo Verde,std,0.5702347600730805,0.7157408604593627,23.895744444135474,23.809615130979996
Cameroon,0.025,0.011124324361052478,1.821679313901764,342.76010356887525,342.7722485532387
Cameroon,0.25,0.11738660946104407,2.0732433299075153,397.16815312071856,397.18928310179126
Cameroon,0.5,0.28268467143150944,2.2227593093500335,425.7161167985802,425.7419612173477
Cameroon,0.75,0.5658220122242694,2.385688110174418,454.2640804764418,454.2946393329042
Cameroon,0.975,1.5565781363635747,2.7375485119947824,508.672130028285,508.7116738814568
Cameroon,mean,0.41200899533656055,2.2378944916338015,425.7161167985802,425.7419612173477
Cameroon,std,0.41905670764002545,0.23427871559350916,42.325274282615055,42.332263918400336
Canada,0.025,0.004454374432072308,1.1811935226966352,1230.714309113799,1230.7769649563847
Canada,0.25,0.04675860935906459,1.311025271256418,1345.9096429137123,1345.9925657688677
Canada,0.5,0.11515729427411465,1.3824990775789479,1406.3527617585723,1406.4463187376023
Canada,0.75,0.25448579092499574,1.459804637395493,1466.7958806034321,1466.9000717063363
Canada,0.975,0.8151863692007427,1.6187155027221678,1581.9912144033458,1582.1156725188193
Canada,mean,0.19163076904646972,1.3876517025358557,1406.3527617585723,1406.4463187376023
Canada,std,0.22166833314549458,0.11143091491822976,89.61310209278716,89.62886826843491
Chile,0.025,0.011595953628998328,0.9290226895193785,872.2441016907688,872.274909058971
Chile,0.25,0.1328688994520279,1.047388524554995,945.0899241253311,945.1256726732928
Chile,0.5,0.3228972399624847,1.1165645950087346,983.3122075939616,983.3505487843992
Chile,0.75,0.6506053131080836,1.1909799492064677,1021.5344910625922,1021.5754248955052
Chile,0.975,1.745577895349601,1.3473243289395644,1094.3803134971545,1094.4261885098272
Chile,mean,0.4703089884915881,1.1221574626599804,983.3122075939616,983.3505487843992
Chile,std,0.476111870315596,0.10682721343558182,56.66844226694157,56.67228612442802
China,0.025,0.005762160648289195,0.7701735655252359,2962.9675603476767,2963.0125709467375
China,0.25,0.06682006964841657,0.8160192966884932,3046.513665318701,3046.563523955101
China,0.5,0.16287185156106684,0.8421261275953578,3090.350398849591,3090.402801256537
China,0.75,0.3208934494810585,0.8693901083715355,3134.1871323804808,3134.242078557972
China,0.975,0.9042702237767422,0.9245402615603231,3217.7332373515046,3217.793031566336
China,mean,0.23601874442330617,0.8435284990034455,3090.350398849591,3090.402801256537
China,std,0.24126808048113108,0.039746309557394686,64.99243838493635,64.99620978479052
Colombia,0.025,0.009952617923165125,0.6682634306189066,640.8452685969374,640.8797061868985
Colombia,0.25,0.11727959233020667,0.7753840961320018,691.6725035220157,691.7111459550351
Colombia,0.5,0.2843043294222178,0.8377966578263634,718.3416098112361,718.3824585300512
Colombia,0.75,0.5873606151938991,0.9054624395989843,745.0107161004565,745.0537711050674
Colombia,0.975,1.6790051637990733,1.050656264345169,795.837951025535,795.885210873204
Colombia,mean,0.42989250369791454,0.8436745226950599,718.3416098112361,718.3824585300512
Colombia,std,0.45551684509990886,0.09797838590190694,39.539676149959924,39.542947194175305
Congo (Brazzaville),0.025,0.015533528556971678,2.9989995733602353,84.38153761845014,84.39545394294366
Congo (Brazzaville),0.25,0.16466728048218732,3.684148288570646,125.48344896414221,125.57979316959101
Congo (Brazzaville),0.5,0.40041421364083485,4.123162838731673,147.04966723244172,147.18926143804566
Congo (Brazzaville),0.75,0.8051309351002052,4.626029996184594,168.61588550074129,168.79872970650024
Congo (Brazzaville),0.975,2.160681893094212,5.791256466953453,209.7177968464333,209.98306893314762
Congo (Brazzaville),mean,0.5825780544515523,4.194033579155917,147.04966723244172,147.18926143804566
Congo (Brazzaville),std,0.5868367739032321,0.7192671276722381,31.97412304935692,32.03824559553722
Congo (Kinshasa),0.025,0.011843405474005989,1.1561879404332842,277.6976478481516,277.71672806179714
Congo (Kinshasa),0.25,0.14169025371525737,1.3680992723306362,312.4888146601122,312.52007966226876
Congo (Kinshasa),0.5,0.3386890788595079,1.49251321377223,330.7437783031644,330.78143667730717
Congo (Kinshasa),0.75,0.6697931014572158,1.6292491247788359,348.99874194621657,349.0427936923455
Congo (Kinshasa),0.975,1.7707072881366306,1.9224490579365854,383.78990875817715,383.84614529281714
Congo (Kinshasa),mean,0.48213052495544856,1.50506858042666,330.7437783031644,330.78143667730717
Congo (Kinshasa),std,0.4769728138621169,0.19590819963247957,27.064849595928255,27.074328423418805
Costa Rica,0.025,0.0079746069978602,0.9117367283482425,442.7006407855904,442.71131984040636
Costa Rica,0.25,0.09119864561855848,1.1168591231726135,486.97559802648755,486.9878227631607
Costa Rica,0.5,0.21910645756839045,1.2302300983512136,510.2067169797159,510.21975273736626
Costa Rica,0.75,0.44641420795269404,1.3482992906931062,533.4378359329443,533.4516827115718
Costa Rica,0.975,1.2592786848740811,1.5875235680206692,577.7127931738414,577.7281856343262
Costa Rica,mean,0.32784978544022636,1.2355750225467699,510.2067169797159,510.21975273736626
Costa Rica,std,0.3453531450639459,0.17243540811161054,34.44250849842388,34.44371091992396
Croatia,0.025,0.01102307410665042,0.8359614906470235,666.1021744531431,666.1225418947805
Croatia,0.25,0.12429525856700327,0.9696809577350051,724.2483721600556,724.2741887878742
Croatia,0.5,0.3084476266676116,1.047789251410823,754.7577463025896,754.7864221244145
Croatia,0.75,0.6372129072159588,1.1309266735382986,785.2671204451233,785.2986554609545
Croatia,0.975,1.7786068188305313,1.3018027760411701,843.413318152036,843.4503023540483
Croatia,mean,0.46529381726332614,1.0534666563728194,754.7577463025896,754.7864221244145
Croatia,std,0.4825936160329364,0.11907284461125617,45.23326578893813,45.237504836315
Cuba,0.025,0.01233680955506849,0.6267216558693463,424.32686453560365,424.3634423702664
Cuba,0.25,0.13529156026435862,0.7855816270292415,464.6582692745437,464.7045472805671
Cuba,0.5,0.32136143565794634,0.8736934864797784,485.820201875478,485.87156957212534
Cuba,0.75,0.6324855678745864,0.9679378452862413,506.9821344764123,507.03859186368356
Cuba,0.975,1.6640567686081464,1.1662790395905538,547.3135392153523,547.3796967739842
Cuba,mean,0.45708421096730745,0.8797675556731421,485.820201875478,485.87156957212534
Cuba,std,0.4494687545506678,0.13711969939211696,31.37472822201117,31.38227420862175
Cyprus,0.025,0.008486261993410555,1.0641263800021399,450.31760168419464,450.33603037635356
Cyprus,0.25,0.09048671041662831,1.2449646932514056,496.0139249716264,496.0357629052237
Cyprus,0.5,0.21674125984477144,1.3477796362187098,519.9908362589604,520.0144630253051
Cyprus,0.75,0.43861150379881997,1.4580285206628836,543.9677475462946,543.9931631453866
Cyprus,0.975,1.2379287187953893,1.6919554816747744,589.6640708337263,589.6928956742568
Cyprus,mean,0.32203075679630594,1.3555175755927573,519.9908362589604,520.0144630253051
Cyprus,std,0.3343109975744729,0.15984391327014547,35.54822186751361,35.550873994913246
Czechia,0.025,0.009586273254778694,0.9388436076470453,843.7233370565392,843.7423146056105
Czechia,0.25,0.1089104392405435,1.0652004766011074,912.8032014490753,912.8259885527942
Czechia,0.5,0.2723110056828433,1.1377131127605693,949.0494825746396,949.0742685558885
Czechia,0.75,0.5545101858301327,1.214486186137718,985.2957637002037,985.3225485589826
Czechia,0.975,1.5454127492729448,1.3766907791011924,1054.3756280927398,1054.4062225061664
Czechia,mean,0.402833362803526,1.1429217728642975,949.0494825746396,949.0742685558885
Czechia,std,0.4184063772477121,0.11151780575012527,53.738816809339085,53.741780349599736
Denmark,0.025,0.012387140305234592,1.3011701203529715,977.0396585046957,977.283012250023
Denmark,0.25,0.13269171566588195,1.4271926876237189,1057.774955148745,1058.3010807957646
Denmark,0.5,0.3237536216815271,1.500675613614702,1100.1368544467439,1100.8113508228212
Denmark,0.75,0.6485647469088403,1.580436952152406,1142.4987537447428,1143.321620849878
Denmark,0.975,1.7427096256455987,1.7443773278222314,1223.2340503887922,1224.3396893956192
Denmark,mean,0.46977276549919833,1.5064315379834192,1100.1368544467439,1100.8113508228212
Denmark,std,0.4733743925725969,0.113383393889663,62.805845879323904,63.025820651386354
Diamond Princess,0.025,0.01090860690361543,4.144833010155131,341.56916230316307,341.8675411154108
Diamond Princess,0.25,0.12292106863474478,4.6654147677832425,426.9168267617371,427.6090798488712
Diamond Princess,0.5,0.30700857597531783,4.981006588321378,471.69884054504786,472.5977598991354
Diamond Princess,0.75,0.6327367330932312,5.32583952173805,516.4808543283588,517.5864399493996
Diamond Princess,0.975,1.79298992266449,6.080071352148707,601.8285187869328,603.32797868286
Diamond Princess,mean,0.4631506711765071,5.013713594490261,471.69884054504786,472.5977598991354
Diamond Princess,std,0.491101278824256,0.49674112543227916,66.39391298428501,66.70031685016045
Djibouti,0.025,0.013929013743814611,1.4411679229085999,218.6429410609749,218.65473336294696
Djibouti,0.25,0.15213664815265632,1.7288230682198362,261.2801585105479,261.29606223571244
Djibouti,0.5,0.35262336331607186,1.9024708130968833,283.65195358685685,283.6700145803104
