roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,beta,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,ll_,loo,mbase,mlocation,sigmac,sigmad,sigmar,sigmau,waic
Afghanistan,0.025,1.4544700522220002,1.4777831238246872,1.4835115413341353,,,1.489326305666174,1.4870667571467846,1.4742872122039932,,,,,,,0.12155260748551656,0.01620749737564639,0.011355060383587036,,,0.010173450914715271,0.010253448163560962,0.011336417429156372,,,,,,,1.227871149401299,0.0011341437781320373,0.0013203215760949861,,,0.0012272040647296372,0.0013936472857959683,0.001604947381417394,,,,,,,-321.71027631435993,632.5587645991413,0.05354841543608568,7.5588804836927705,0.002068036043453365,0.015129163092504082,0.017576729135967858,0.023201384122465352,464.36022592268955
Afghanistan,0.25,2.526776111613613,2.49166840264507,2.458612699584531,,,2.3977476957931376,2.329486101074993,2.252407854747214,,,,,,,0.19602646779657606,0.04246538852488782,0.04137809379867874,,,0.04213977154215713,0.04373223858886974,0.046442075155840465,,,,,,,1.426307905703209,0.0034353092936839445,0.005265676854110498,,,0.006179782193064754,0.006740958541843606,0.007368400907678721,,,,,,,-241.81914009010396,817.8735545557355,0.3053314279430284,24.350723996381596,0.005969292495703906,0.022776879662334812,0.02566892222028267,0.045386740224334664,542.8374895999644
Afghanistan,0.5,3.6361172452913486,3.550494045554779,3.4696842880000434,,,3.326442453516119,3.1323302393546895,2.9394137107022127,,,,,,,0.26876621190422695,0.07339650190242827,0.07791794221543906,,,0.08173545972698247,0.08577191274426588,0.09094784137154502,,,,,,,1.5410809476932026,0.0062350409058951955,0.010308363286145256,,,0.012636578070537134,0.014147667204065663,0.015673829663126936,,,,,,,-240.00234536192247,915.1084294727356,0.5416118025233545,46.7789159842588,0.011885252666109136,0.029185659831607265,0.03227800952614219,0.06828414568656758,584.0145965069499
Afghanistan,0.75,5.862621186415003,5.683135559433296,5.407219133813399,,,4.9492003410855,4.4714008884758805,4.0127581134412535,,,,,,,0.4435894735435075,0.13940506704701294,0.1544439367279397,,,0.16409810349314446,0.1718370060368948,0.18236166807291515,,,,,,,1.6639388454343824,0.012151499631450038,0.021003637862355276,,,0.026061691127937856,0.02965529161373216,0.032636201257371274,,,,,,,-238.45589732215961,1012.3433043897356,0.9027261491435157,114.01809264167237,0.027168560836312902,0.038339655125552284,0.04145720090691968,0.11090739533824788,625.1917034139354
Afghanistan,0.975,22.117025254741797,20.483510680130628,18.37181199102933,,,15.330609745914616,12.094787886573943,8.939647159008011,,,,,,,1.476199159274846,0.9601724289014718,0.7390720639323995,,,0.8624749677738996,0.7733450756259572,0.7739945571535969,,,,,,,1.9400024133506293,0.05841513105140297,0.10554038205823506,,,0.11846036713248931,0.1359950925977558,0.14507892708558345,,,,,,,-235.9928283360885,1197.6580943463298,2.703499607101766,409.08271006552116,0.28742200251215905,0.07147505255280433,0.07259661753911123,0.3461052346799141,703.6689670912103
Afghanistan,max,183.73891721392883,178.79401294794243,158.31471623964043,,,109.65581775211852,72.45200308328906,56.70014045549316,,,,,,,10.703759084216703,156.24284022693612,1774.9970959098519,,,858.7903843981366,72.31442374476298,625.6384048989497,,,,,,,2.387022877365642,5.558918033241787,34.242699253506466,,,15.371870785933949,8.125228093426784,7.7689575698734075,,,,,,,-233.23141936389865,,9.055625926157374,2572.5433722019893,4.4256646501008445,0.5475838499093821,0.2807295853534255,9.318808236670716,
Afghanistan,mean,5.53955124550817,5.317368127201337,5.003553038987026,,,4.526872359622202,3.9823967307246586,3.5011956829394935,,,,,,,0.3975811817252131,0.1408319450149957,0.04241795457563451,,,0.1470979684652986,0.09107834048894528,0.1869301742076371,,,,,,,1.5506634306521117,0.012093472863367908,0.01990259348281828,,,0.022779809152236142,0.027798745034644006,0.028878695324144266,,,,,,,-244.43483855627633,915.1084294727356,0.7307708206473523,92.57065705325088,0.04094456359890009,0.032934760729868624,0.03550978418754991,0.09828032793074998,584.0145965069499
Afghanistan,min,1.059695744753474,0.8865834904503261,0.6579321974836247,,,0.5957832195443159,0.5849994886689937,0.6016405511572842,,,,,,,0.0492628676228062,-285.79059015285844,-2347.6944327352794,,,-324.57639863547826,-324.8581340928214,-324.90740453355767,,,,,,,0.9864424804016557,-1.103578323492496,-52.43207543460353,,,-18.903890333805514,-3.2600820495946636,-3.932952772047172,,,,,,,-589.0340789936578,,5.575376457242111e-05,0.7155041132299833,0.0001368204019310128,0.00867981156219568,0.010569677607666549,0.009921328217414569,
Afghanistan,std,7.196735600519937,6.578090375471171,5.812492491746789,,,4.655830869624192,3.3352607938126733,2.2545095595961513,,,,,,,0.405103731733507,4.388922894747998,24.156721804656442,,,8.638715351659693,4.21629334582516,6.345452827929603,,,,,,,0.17940076270287927,0.07056651682503043,0.5245024643233185,,,0.2454205044444009,0.1305033566554211,0.11533700053989387,,,,,,,24.59415064354661,144.16064126805898,0.695423629451757,127.96329341371286,0.13315548602655622,0.01628255104393241,0.014758178762174222,0.14620611134232128,61.0492700519391
Albania,0.025,1.6485540658298405,1.6495233910839695,1.597672435269588,,,1.554581598353069,1.5185829996742723,1.4826016997335254,,,,,,,0.17151773221709193,0.040539043760056064,0.05332844056929854,,,0.05638390075367717,0.06804886182070961,0.08064918771218843,,,,,,,0.4332218808974665,0.0011851843070834435,0.0025033112493756263,,,0.0036167116155844,0.00511034781243492,0.006332885498034715,,,,,,,-399.5432331797752,1973.9313792895946,0.051131943458376315,6.828742207665272,0.0028927353342089786,0.009412920729912212,0.048187116102899316,0.02410720483800405,682.0096333795594
