roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,beta,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,ll_,loo,mbase,mlocation,sigmac,sigmad,sigmar,sigmau,waic
Afghanistan,0.025,1.680639616279908,1.6783299943406762,1.6749724134970863,,,1.6329034389378905,1.5800122571028261,1.5369912926111498,,,,,,,0.17137630524610029,0.016085626025919852,0.013137511794934512,,,0.012402654652800507,0.01215572261355193,0.012182644242368128,,,,,,,1.2387370185463518,0.0011984860373459984,0.0015749009188364895,,,0.0016437080692631421,0.001661099912744346,0.0017122108750094777,,,,,,,-244.75918330650765,406.2341614927477,0.07559672629588574,6.692034493300047,0.0030495167055661124,0.01564450931524133,0.017565580279225734,0.024040476523654035,406.22583633725765
Afghanistan,0.25,3.096398215218673,3.0565137991193003,2.978292307222799,,,2.8195411780174044,2.604311510145538,2.4065939927115396,,,,,,,0.24338814915182,0.03889627588212025,0.037038412935343934,,,0.03692543374854029,0.03740601101467686,0.038243385760434644,,,,,,,1.4376702539465636,0.003271178521814989,0.004821004928768575,,,0.005308170854372177,0.005679824966217021,0.006003938449273965,,,,,,,-241.55956848547453,456.5319492332207,0.30080151553322887,19.93704034756525,0.008015549468306682,0.023121777867455843,0.025996164674786423,0.04582099210814537,456.5195886466691
Afghanistan,0.5,4.560885024037643,4.443678985941885,4.225976338199685,,,3.8910384857773685,3.508946328053134,3.179560043864495,,,,,,,0.3518858341663039,0.06775324335880026,0.0695900902656918,,,0.0715894805607131,0.0733385207218323,0.07459750673673457,,,,,,,1.55066223526108,0.005899870306832597,0.009227574366196907,,,0.010769633924392154,0.011743973673037195,0.01250898947235554,,,,,,,-239.97197815984248,482.92325400005683,0.4604759497668304,33.4432896650593,0.015207425282534656,0.029326054672000036,0.03283337445802166,0.06929767921566043,482.90877601837127
Afghanistan,0.75,7.138248426501896,6.821146670655302,6.341079927887924,,,5.6255231615096175,4.907880836425078,4.276627446889483,,,,,,,0.5136634878987643,0.1270154888427584,0.13904223560875525,,,0.14542638355679063,0.14915854757254984,0.15186247221743748,,,,,,,1.6743507735236924,0.01133295326813291,0.01887804917735982,,,0.022859714434076524,0.025322569747809286,0.027079472463049085,,,,,,,-238.4935274044979,509.31455876689296,0.6546701269813335,67.64138195226101,0.0323142475453874,0.03861804171160589,0.042319605815565146,0.1102609917872361,509.29796339007345
Afghanistan,0.975,20.30685479798598,18.715871222123162,16.72650699702509,,,13.93724664694895,11.023493000028184,8.394230128586736,,,,,,,1.1941784702865892,0.5462164681354099,0.5464323145543107,,,0.5476361780235474,0.5456368447231911,0.5459263394852809,,,,,,,1.934473201928541,0.04839200075537174,0.07807219693062947,,,0.09143494473127027,0.09815766683797122,0.10302621177558181,,,,,,,-236.02756593761245,559.6123465073659,1.9568103070841802,322.08506046599643,0.21753734335901811,0.07063759990277226,0.07656576640088715,0.35445494587589305,559.5917156994849
Afghanistan,max,143.33031667645204,125.73262467871835,106.47364174152892,,,82.19303554830663,57.0988372156303,32.10091733743711,,,,,,,6.322880044708746,2.4470942307543164,1.0918025571094454,,,0.9929052169398329,0.9739471751961901,0.9636098061340179,,,,,,,2.3533711223777036,0.33044988469960623,0.2876648099216665,,,0.3128537374162429,0.33298675146330564,0.3441709062970672,,,,,,,-232.84662994130062,,7.965361358555084,2487.210547914877,3.116372678334492,0.23426512736994592,0.22109442881871663,2.7656927097867174,
Afghanistan,mean,6.214558497737873,5.920365401487715,5.498639193885828,,,4.879044932558174,4.205442751560133,3.6252038540281073,,,,,,,0.435366785691993,0.11586370002349312,0.11840125173416131,,,0.12054230998717048,0.122227221496089,0.12368464295387559,,,,,,,1.5599484351181176,0.010284233727940222,0.016335315173143208,,,0.01941827344077962,0.021242515849513074,0.022440512481688716,,,,,,,-240.08989832752565,482.92325400005683,0.5623046904090391,63.702666152198795,0.03850397892709251,0.03285578877648175,0.036298879862525675,0.0981968641534267,482.90877601837127
Afghanistan,min,1.1279525594813746,1.1279524602358622,1.1279521570220437,,,1.127950927445868,1.1279459415397957,1.1279257271522218,,,,,,,0.08625221161654291,0.00431687483337739,0.002407688820837633,,,0.0019826031782746076,0.0018650083721229737,0.0018238839067066714,,,,,,,1.023379271216645,0.00026644924862392563,0.00029931207006958147,,,0.00027708531519574884,0.00026034719161792505,0.00025205656466075426,,,,,,,-250.6163271252992,,0.0002001779448057868,1.0226327383071698,0.0008849686408662241,0.009196284067689605,0.0104965239759629,0.010270869909430361,
Afghanistan,std,6.455385540201777,5.776288973387593,4.949117738946829,,,3.8319794892805903,2.7345901049196066,1.8894575262080313,,,,,,,0.3270648781288621,0.15314849083608964,0.13994577468209754,,,0.1384425259337219,0.1380480059169993,0.13790885358541752,,,,,,,0.17670451153271746,0.01468691983135278,0.0210960537099701,,,0.024718453892131516,0.02674289447255323,0.027904189537237646,,,,,,,2.240869375134363,39.127806996568744,0.5052938794075796,100.10932867366498,0.10511605252990051,0.014821253782460568,0.015565135333382378,0.10752950493054254,39.12466774184568
Albania,0.025,3.542344763802931,3.5312746332176133,3.5111064791911,,,3.3667240432454157,2.9085784629099303,2.236453582657599,,,,,,,0.4792125246162019,0.026839816891309428,0.03834906133351308,,,0.049715764616681604,0.0576356951248746,0.06245266998094432,,,,,,,0.49249665316428276,0.0007880702968635945,0.0017669914914857135,,,0.0030970428206554554,0.004534380177917983,0.00559388582899204,,,,,,,-280.4199308803651,504.94942711113504,0.044430869093390495,17.962239291583312,0.01068595884102775,0.010019572740662421,0.049229103611724015,0.024142536203162705,504.6883334598325
Albania,0.25,7.153325604254529,7.133865120321703,7.071345895861051,,,6.881441445011035,6.553494756764895,5.892766438926564,,,,,,,0.7359695594151665,0.06283517059566748,0.09702367751133803,,,0.12628692040290235,0.14786118850460478,0.16180484030212938,,,,,,,0.6007274009232728,0.0019854675699021215,0.004973519239121447,,,0.008677276488828446,0.012288867878034439,0.015214673784091302,,,,,,,-275.82988531570254,537.7733832002694,0.08788338742682027,38.599583323262365,0.025624116468000217,0.013529139344602523,0.06809773201305425,0.045389939256778866,537.4104152830361
Albania,0.5,10.241101494956055,10.186518329463574,10.078582266796888,,,9.785159043374641,9.337333657025615,8.384677607268163,,,,,,,0.9616359318862026,0.10143767689371722,0.1577581284588615,,,0.2018963002821601,0.23138147737049175,0.2512219064825415,,,,,,,0.6655822956360329,0.0033337833661004437,0.008483261494440699,,,0.014363467663952467,0.01978328124748603,0.024088860824845994,,,,,,,-273.77962174997344,554.9961492048374,0.1201524051094908,42.61975326241753,0.04211484843554678,0.01608539719619147,0.08280131832582377,0.06823594214074183,554.5797277477794
Albania,0.75,14.750243192698326,14.622176160893613,14.392475712564082,,,14.029900194318067,13.279609797589401,11.780488948654728,,,,,,,1.3041816437938467,0.16697785963388784,0.25616398334444535,,,0.3135858692336074,0.35288949126677294,0.3765303049166615,,,,,,,0.7334351369650429,0.005689031419258956,0.01441915237209694,,,0.023509627554858088,0.03109055289531574,0.03699995361347396,,,,,,,-271.91181168677156,572.2189152094053,0.16208167090067765,46.10420813255757,0.0730600315904075,0.019303387088065747,0.10297872589793128,0.1078831118086578,571.7490402125228
Albania,0.975,32.27361168853511,31.7704869702924,30.977919667539194,,,29.801934429431295,27.397249352825902,22.67994987007279,,,,,,,2.380171519859201,0.40411666577502325,0.5415864535364115,,,0.6035739073817498,0.6406385522958117,0.6615287597648737,,,,,,,0.8737764772349438,0.015058315562046976,0.03450524848280063,,,0.049767337048578435,0.06095459774863732,0.06979856200314849,,,,,,,-268.9997569184697,605.0428712985397,0.3006106468199876,52.85866065016686,0.23460049459536012,0.029035387195159093,0.17083676177586507,0.2949281417045336,604.4711220357264
Albania,max,139.70371890684734,138.05952833491122,133.43098270274098,,,119.63194516475846,87.40887151909267,68.7620236245372,,,,,,,6.102166081376057,1.028659422171317,0.9698469431689097,,,0.9722129955666752,0.9739553233893686,0.973141485623345,,,,,,,1.0803719884421883,0.04301909514393655,0.07923726331411081,,,0.10645862399294063,0.12631274021718977,0.13864327166167317,,,,,,,-265.7234932803735,,0.7401005511223712,64.00928659800135,2.973461881907595,0.06537584248625647,0.5071205192944026,1.6350129663593567,
Albania,mean,12.172036506172422,12.05721653921931,11.869147572459253,,,11.50379170320285,10.803123169636967,9.413624522710483,,,,,,,1.087775381522191,0.1317208460790435,0.1939426788381828,,,0.23660079205870627,0.2648659982733927,0.28295666537034025,,,,,,,0.6700067585525207,0.0045063727142317465,0.01102054037301545,,,0.017645402014063342,0.02340702650046361,0.027922356028421087,,,,,,,-274.015892014439,554.9961492048374,0.1329181011435468,41.41058043988473,0.06309466540495183,0.016949359791993232,0.08966259470488121,0.09073096431454426,554.5797277477794
