roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,beta,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,ll_,loo,mbase,mlocation,sigmac,sigmad,sigmar,sigmau,waic
Afghanistan,0.025,1.4271693629660627,1.4538719473886086,1.4506751999921537,,,1.4489225182567576,1.4471993507708052,1.438608836183945,,,,,,,0.12291367695407113,0.017094359882503823,0.01408014164123672,,,0.01337144935499844,0.013219057303193105,0.013091135313119817,,,,,,,1.2292310761685432,0.0012742383876023727,0.0016656628275055992,,,0.0017434094680772038,0.0017928680013150008,0.0018267532704285042,,,,,,,-244.74167866053173,406.27041288953205,0.0588833849965359,7.209081882022909,0.0019956818453915354,0.015179382575260069,0.017493198500005133,0.02406732863615539,406.25786804401247
Afghanistan,0.25,2.4296109765388905,2.3854558081960535,2.346001380778239,,,2.2889547571953104,2.219988679039214,2.1503676315086357,,,,,,,0.19536189573439258,0.043290869716395425,0.044171465682426025,,,0.04535117528130912,0.04646416695286451,0.047509457852117486,,,,,,,1.4282429789341715,0.003571510400389266,0.005630087138297579,,,0.0065534516834478435,0.007195198931839194,0.007576926260134249,,,,,,,-241.39727475681323,456.4009477708833,0.2984255841210979,23.721841284523556,0.005856481730333283,0.022835530930502185,0.025782219613164778,0.04680229881208751,456.38263582304955
Afghanistan,0.5,3.508496736777026,3.4034918310176034,3.2983173548078857,,,3.1547976287793436,2.9781600591946034,2.7995769925980216,,,,,,,0.2811963963240779,0.07643530996763259,0.0834781047795482,,,0.08828505007868097,0.09143167902645513,0.09404908375156502,,,,,,,1.5478767452602475,0.0065748566296239385,0.011053733846774175,,,0.013491777427585127,0.01503611375633069,0.016178025397512126,,,,,,,-239.86027157177847,482.70449477785576,0.5173948374658994,45.42646238395611,0.012051478048722844,0.02924762925808086,0.03253421523446898,0.07104903367481621,482.6831568250696
Afghanistan,0.75,5.867929614403485,5.670073018697808,5.355692537563375,,,4.834515187780802,4.271645806633448,3.8059235693787095,,,,,,,0.46926831462623025,0.1506875458668709,0.1724451391711671,,,0.18323530100473256,0.19149253865935878,0.1979169746155048,,,,,,,1.6699137434789577,0.013211459355881647,0.02325183065728764,,,0.028827687877753555,0.03259862421340089,0.035192852817875916,,,,,,,-238.38032900408746,509.0080417848282,0.8457391856825156,108.11843624602292,0.028795510869367144,0.038268076624558924,0.041922864251451045,0.11546290270144538,508.98367782708965
Afghanistan,0.975,21.36565574130686,19.640213219196788,17.628477060451914,,,14.896055379978588,11.771406514861294,8.82530023343901,,,,,,,1.4889244300089017,1.056493696103696,0.9407376090353029,,,0.8945083803829922,0.8775848426042324,0.8716196794312446,,,,,,,1.9253145474962896,0.07851553027438768,0.12255552159600111,,,0.13995687717340638,0.1493460793839733,0.15496997500593862,,,,,,,-235.94978445549847,559.1385766661795,2.560178840973374,402.65172188343564,0.32665670729008156,0.06966480919711167,0.07355159071697401,0.3753325166663978,559.1084456061267
Afghanistan,max,211.30734541295655,185.64376613907402,137.59715605980037,,,114.410943313787,87.60753335435011,53.275508622872856,,,,,,,8.375490254017251,2.3246319432333915,1.2068286479594017,,,1.0681163634231665,1.0273761558386538,1.011943610264972,,,,,,,2.3603746701772526,0.2799890612936201,0.33218536537363386,,,0.35527416026360853,0.3685832513796829,0.3817240286759179,,,,,,,-232.37538173195526,,9.651106975873805,2028.0038478279234,3.0885500529353247,0.28020970396531686,0.21233646850640228,7.878143039080737,
Afghanistan,mean,5.447512209512481,5.206393712311361,4.870321419050498,,,4.37617450347871,3.8320080742636127,3.3537857007987375,,,,,,,0.40854922739651534,0.15624962973199286,0.1585063552320462,,,0.1613807080431203,0.1644437006540021,0.16749311354824667,,,,,,,1.5541812663711512,0.013367054612363649,0.021862477362263714,,,0.02612542127912081,0.028676033170306533,0.030423175193261248,,,,,,,-239.97384096115724,482.70449477785576,0.6962815072180334,88.4557082081376,0.04351772079159789,0.032690402233032496,0.035831727868984,0.1015652605555676,482.6831568250696
Afghanistan,min,1.068600409434314,0.9066719324263319,0.8638363528550485,,,0.648847066057984,0.6534788377947606,0.8312160501328744,,,,,,,0.04761794379773653,0.003175988548359848,0.00022320202433718435,,,0.00012252643345397402,0.0001635882103212546,0.00022453362499474415,,,,,,,0.9662486951032013,0.0002659129810827081,3.123855213483537e-05,,,1.5292884998499254e-05,2.1058302813894715e-05,3.508587300594556e-05,,,,,,,-253.54056278324086,,0.0004153539711305209,1.4574605367849482,0.0002121865562206087,0.008174843247802242,0.011827072020222505,0.01101050830701148,
Afghanistan,std,6.896615283419672,6.179911814220191,5.299581841735164,,,4.216947895638917,3.1312672349123503,2.171468848611756,,,,,,,0.4016381537254366,0.23899705809389354,0.2085372761441945,,,0.20121180358655616,0.19920873854604593,0.19928802895765,,,,,,,0.17937256827899076,0.021534415188667763,0.0317388951733381,,,0.03607289877638785,0.03835607366558151,0.03978330618140427,,,,,,,2.25619085111516,38.99769714710371,0.6782746014500005,118.01770854491352,0.13502819215152398,0.015158314232832528,0.014935890220026787,0.12324768508752894,38.993210785448134
Albania,0.025,1.6384719685528226,1.6317161905313635,1.562562391694418,,,1.510694139788532,1.4659884078746144,1.4265286333411609,,,,,,,0.16374352432762337,0.041079189624296894,0.059114687075706225,,,0.07195650753056572,0.08258460689772656,0.08852483147768228,,,,,,,0.4337790521317789,0.001255798695001555,0.0028382561722729493,,,0.004445703564371041,0.006273343466191755,0.007931054867330496,,,,,,,-278.10531806543116,499.6041719130634,0.03455487973939273,10.632525290635499,0.002605514201762114,0.009599068587862166,0.049125868374612316,0.02368536600652564,499.4945306303672
