roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),beta,car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),extra_std,ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ll_,loo,mbase,mlocation,sigmac,sigmad,sigmar,sigmau,waic,Rt (week 5),car (week 5),ifr (week 5),Rt (week 10),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),car (week 10),car (week 6),car (week 7),car (week 8),car (week 9),ifr (week 10),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),Rt (week 11),car (week 11),ifr (week 11)
AA_Global,mean,2.8828517137353016,2.971609931346109,2.7850289250592812,2.1496757764394796,1.7804553425470735,1.9069085277352142,0.3785619906183079,0.10820211537490375,0.11287692745790348,0.1224582232802362,0.13226514052394242,0.12831203332846317,1.1791549110353343,0.0022869863713023985,0.004796986836677199,0.006805982473519993,0.008782494759277209,0.010064543590775068,-222.90682352141872,402.1522323150803,0.24584456443774796,15.968865788307063,0.024067175069399215,0.012955566671430838,0.022925315397216667,0.09834033822806142,402.02700491292296,1.7721255822200443,0.1075118723990756,0.008265331648382052,1.1742718213937708,1.3973252768780395,1.1877365924188785,1.1533353694318367,1.1002448666432945,0.16180825869218457,0.08993273738177053,0.0960140257441937,0.10792793298954388,0.11487722394538886,0.012966662562382639,0.0058352286663473606,0.0063035073266253005,0.007513662073944247,0.007820160193680372,1.0688157661592816,0.20227184965857556,0.010838893423487223
AA_Global,std,1.5402469436598778,1.3504194403063798,1.179319512089407,1.1371304264014528,0.9985802875378709,1.037279857964839,0.1702969882856292,0.03864184818266262,0.057419220260387774,0.06805549615673552,0.07736797670827797,0.08186235063972226,0.4220840163461397,0.0023936905072018994,0.004303314938363108,0.005864448937524286,0.007523635644791285,0.00825814894965227,196.1129710690385,330.42909820286343,0.18610034163566608,19.071169168785755,0.01653781483841686,0.006773499908521135,0.01392340790431815,0.008528635148918488,330.2170897478013,1.0394052042754933,0.08313615923180638,0.007691366685942882,0.2799058780730894,0.7208879185320676,0.5592013510337653,0.5107035276608889,0.44883035297908624,0.16004843508245897,0.08017275071567075,0.09313786364689036,0.112717756303678,0.13168616890700716,0.014410581242906057,0.0060556641751772005,0.006063359090395628,0.007858409810968239,0.01032540187805523,0.29020407565542183,0.07588513790854766,0.005571209711225659
Afghanistan,0.025,1.451291674274702,1.4493147862791067,1.4399809086509527,1.4199260256743484,1.3975974892460936,1.375917874501396,0.148052669884492,0.016373974009375056,0.013259117595722084,0.012530116843918923,0.012351053018298978,0.012361646475712338,1.234409516738674,0.00122451515219226,0.0015894197789429459,0.001655427339593744,0.0016825638546952271,0.0017303479818274326,-244.84045313476935,406.3142433561818,0.05728760917842636,6.043258653267256,0.0024342325163167603,0.015359003303095309,0.01754142962534418,0.023875510286974332,406.29961092510104,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.25,2.455083852278989,2.402688076373911,2.3446228414165375,2.258496556952637,2.155743677851312,2.0601608965827563,0.21339221344371553,0.039683770826822624,0.039011267982244774,0.03961241125760977,0.0403817615392784,0.04144738594787747,1.4330914489292312,0.003307801987104529,0.005015643103658306,0.00571586241949152,0.00615926944413811,0.006531929777454267,-241.53570320485431,456.5955582448296,0.2764780615266451,19.48374458493302,0.006445013192569933,0.023061038718554167,0.025981280903858327,0.046229562894398765,456.57395986274526,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.5,3.457726244743627,3.3555866919974675,3.235519482431323,3.0618009098753536,2.864002981446538,2.6838010953086235,0.29332943421209196,0.06818067265246153,0.07201212574508246,0.07513588727051371,0.07770659881838975,0.07996232739622774,1.5495165714483652,0.0059326600443432645,0.009544523305071634,0.011418327062579559,0.012579763572572757,0.013537289763004353,-239.94639135729741,482.97821968812354,0.4405171445878963,36.62236063228474,0.01221798886386549,0.029452682873647128,0.032812630707431616,0.06990505180058089,482.9529662638558,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.75,5.233406458602547,5.044406946946571,4.7758728598148945,4.379456684120503,3.9613472796111973,3.5998519120030035,0.43651414794247206,0.12656466995440482,0.1402378296831625,0.14801226500192613,0.15378524110649658,0.15889648061638603,1.6729727425910368,0.011318486721102226,0.019061534718210836,0.023382605605345358,0.026233533619218687,0.028373949098944667,-238.47993819105812,509.3608811314175,0.6678126491298728,80.3169498371176,0.025962166154549025,0.03884422512455933,0.042397936643757364,0.11214812832236822,509.33197266496626,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.975,14.07452290863461,13.237852961870068,12.189962372515133,10.641422407870063,8.882581462850917,7.191662249930595,1.1008979383119002,0.588912652606683,0.5625551351713354,0.5567966912492579,0.5559195204843757,0.5611744018212927,1.93334002734329,0.04978973017815791,0.0780394868833841,0.09168610880271513,0.0997589424648584,0.1055761900979725,-236.00960722107433,559.6421960200653,1.9985806849709222,321.6537889070396,0.1849614417425947,0.0715829606660488,0.07530047875504066,0.3576132638058143,559.6063216026106,,,,,,,,,,,,,,,,,,,,,
Afghanistan,mean,4.543220686904947,4.371625496313589,4.14067487867644,3.8002272061073494,3.4207193702105214,3.081398389405488,0.37500971308333175,0.11654335050579667,0.11916106029079299,0.12231211686449833,0.12523689452650102,0.12821791227700344,1.5578312588151257,0.010375674319561701,0.016480725289118956,0.019731656523885695,0.021743907201349555,0.02327161686865859,-240.07753729538632,482.97821968812354,0.5628430293707615,69.21968929252901,0.03055605634397941,0.033083723533055547,0.036257705104099876,0.09941185753668103,482.9529662638558,,,,,,,,,,,,,,,,,,,,,
Afghanistan,std,4.077509659954648,3.7579221550896444,3.347851039943537,2.786815969475584,2.186914085022177,1.6546649267826639,0.2824793483872542,0.15213300446756348,0.13693863366368533,0.13565628814720118,0.13624230479420216,0.13769622593037267,0.17836164373617963,0.014671708910726425,0.020864433350441053,0.02435946382282107,0.02642996747069952,0.027924788119495274,2.275595413135879,39.11499238590984,0.5158403048118066,99.1243532594435,0.0763010672800289,0.015411500733395297,0.015488334115327252,0.1144063386923436,39.10957341225995,,,,,,,,,,,,,,,,,,,,,
Albania,0.025,1.5112184074316963,1.4331393476077439,1.346892714369507,1.281650076134667,1.2441489585889112,1.2168740315681421,0.19299374850321346,0.04161172355553469,0.05654457665891782,0.06694172140857237,0.076406796898051,0.0833449437011103,0.4366630070797763,0.0012327376869036314,0.0026753263764946952,0.004021211622274609,0.005591454408522649,0.007251553630900697,-277.45148495611204,498.78670487988467,0.013789104012024043,4.491063654698866,0.002899119812478198,0.009499659483876285,0.04805201443871414,0.024447021383206424,498.74181076512644,,,,,,,,,,,,,,,,,,,,,
