roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 10),Rt (week 11),Rt (week 2),Rt (week 3),Rt (week 4),Rt (week 5),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),Rt-by-week,beta,car (week 0),car (week 1),car (week 10),car (week 11),car (week 2),car (week 3),car (week 4),car (week 5),car (week 6),car (week 7),car (week 8),car (week 9),car-by-week,extra_std,ifr (week 0),ifr (week 1),ifr (week 10),ifr (week 11),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),ifr-by-week,ll_,loo,mbase,mlocation,sigmac,sigmad,sigmar,sigmau,waic
Afghanistan,0.025,1.4533165804963228,1.4526605909428447,1.446442292494557,,,1.4228521176166282,1.3896162135336305,1.347430326941213,,,,,,,0.17656459839414754,0.015741861456436267,0.012657858693043126,,,0.011990979733296903,0.011777016407754212,0.011919809838984573,,,,,,,1.2379586068104056,0.001190844456816787,0.0015082665925011964,,,0.001561047034592724,0.001599120804343354,0.001630761551950229,,,,,,,-244.9929456898037,406.4469935828362,0.08158960784346572,7.276300319815545,0.0030550779901845986,0.01549286217524758,0.01765746398779456,0.023570900063627227,406.4407159567593
Afghanistan,0.25,2.482055699128607,2.4568004665302206,2.4058826176108483,,,2.3049126421274444,2.1796521324476736,2.0546181838096143,,,,,,,0.23768206104017353,0.03684979120833475,0.03509746232919955,,,0.03477066801327449,0.03509702437618874,0.03589938559947246,,,,,,,1.4406825210470782,0.003118164580308633,0.004530243098489739,,,0.004991706723600938,0.005301720969668605,0.005586790426929257,,,,,,,-241.70528785958808,456.8578927732793,0.3760582447758172,22.551361977755686,0.007594604304815299,0.02344205871198126,0.026170619366478326,0.04520422088801025,456.84863165384354
Afghanistan,0.5,3.429053921889411,3.358670326820411,3.2546730509303794,,,3.0734336744611417,2.8632643456648514,2.6652881399679234,,,,,,,0.32371214969207956,0.062138604683686455,0.062962006930429,,,0.06424694733271272,0.06559451320806253,0.06727448737200489,,,,,,,1.5547408014583022,0.005524242208340241,0.00850289587398061,,,0.009781538370873437,0.010615445562345715,0.01131964326507729,,,,,,,-240.13479393239243,483.30854724281375,0.5358267919380512,40.07910510023143,0.013678699471883294,0.0299276048447593,0.03319797588024216,0.06777635324773294,483.2977206811182
Afghanistan,0.75,4.848612989237485,4.692511523034103,4.468471268204848,,,4.162987386662692,3.8241098964468567,3.511937987938216,,,,,,,0.45179190385590673,0.11044969443572117,0.1175036254670268,,,0.1221649144593081,0.12560840079738725,0.12838397179821565,,,,,,,1.681340094417409,0.010095678230193788,0.016198073453207208,,,0.01951416071792257,0.021668608683347253,0.023238019480852707,,,,,,,-238.67873520402458,509.7592017123482,0.7311514157621134,81.87717602343531,0.025965956592754316,0.03952874177682487,0.04291670352846177,0.10696237200766953,509.7468097083929
Afghanistan,0.975,9.38502910265001,8.88999122689166,8.299624951936282,,,7.613738202791388,6.797706192532106,6.104702100252911,,,,,,,0.8230563176589119,0.3824308345326712,0.37661560714433956,,,0.3862642386138085,0.39171496362099256,0.3980703015999486,,,,,,,1.9441977717041077,0.03540492027196971,0.05551777609250695,,,0.06720988404635798,0.07409357969051161,0.07916324262899387,,,,,,,-236.129527490673,560.1701009027912,2.229034751658975,359.6684084450202,0.11181629869278872,0.07337762057940296,0.07609528106815616,0.33996742515202866,560.1547254054772
Afghanistan,max,19.19838195832546,18.744013896331836,18.11258250217225,,,17.090848629737817,16.68784690384525,15.338574920537482,,,,,,,4.745427851321682,1.774669153160776,1.0024678949792856,,,0.8817062674959351,0.8776888441696157,0.8765304892093505,,,,,,,2.629732549177124,0.25835091028254636,0.19323964085246415,,,0.19127400327347832,0.21681088191838166,0.23286670645444346,,,,,,,-233.37172562281467,,9.764812034377249,2314.3973336279028,0.9561581201150136,0.24893627024399453,0.23369289948665278,4.600994470362208,
Afghanistan,mean,3.949152485626267,3.8395618528170514,3.682123640312911,,,3.446500101322049,3.1783632993347695,2.929333453006355,,,,,,,0.3700901245180888,0.09469957499866165,0.09549686303147885,,,0.09775977604021488,0.09979270463208317,0.10167165311680147,,,,,,,1.5648747881845335,0.00881532945505364,0.013370402278070632,,,0.015747769280318975,0.0172964398108787,0.018448633613150304,,,,,,,-240.24881935004532,483.30854724281375,0.6471093019906062,76.73666006641446,0.024125817678912177,0.033567635494776815,0.03665002148068908,0.0953072199976437,483.2977206811182
Afghanistan,min,1.029793900834447,1.0297939013384274,1.0297939028781888,,,1.029793909122229,1.0297939344430618,1.02979403712409,,,,,,,0.09789999251084378,0.004448356757005627,0.001947400196779642,,,0.001645394262111303,0.0015549132382751292,0.0015225646320453357,,,,,,,0.9974802414712735,0.0003457728431732629,0.0003179838113010471,,,0.0003016228543119061,0.00029390731724548486,0.000290456088412462,,,,,,,-252.20114700594982,,0.0002591718804793765,1.4781893829489525,0.0009980191001411308,0.008980955981695841,0.009767238948931953,0.009707620027428239,
Afghanistan,std,2.089924940180392,1.9662299038391704,1.8245108945291604,,,1.6365750058615007,1.4313255915285166,1.2420965927551475,,,,,,,0.1826028027556206,0.10881816169956118,0.09921665953234748,,,0.10041284397973117,0.10179588842701029,0.10297478027628934,,,,,,,0.17919007177664006,0.011285758405105461,0.015218245824951458,,,0.0179121222915657,0.01978916024165449,0.021094471678262148,,,,,,,2.270471540430031,39.21579899745691,0.5486967988455798,119.63396010765605,0.03790425448367906,0.015451536611537512,0.01570653434979656,0.107402167965857,39.21347806928964
Albania,0.025,2.6511584576505687,2.6431215879903176,2.6037146825978548,,,2.3817368775873393,1.870147379468954,1.4526958745727323,,,,,,,0.5156403905667934,0.0301891364236614,0.04250552438253556,,,0.05439993123810549,0.06318215096407093,0.06748188980602135,,,,,,,0.4900252614642731,0.0008705784193655202,0.0019928406048165827,,,0.0034363752277098932,0.004819376558028378,0.005894160173903949,,,,,,,-279.9955439630385,504.4881077452138,0.06772739177066336,14.04793654382817,0.012147683249048722,0.009912864467948186,0.04798223001506056,0.023898245898744667,504.25937463069175
